股票代码,股票简称,风险评分,风险项,风险项数量,风险详情
300853.SZ,申昊科技,85.0,应收账款坏账风险;业绩公告预警;财报亏损,3.0,"截止至2022-09-30,该公司应收账款(应收票据)周转天数大于500;预计公司2022年01-12月归属于上市公司股东的净利润为2300万元至3000万元，与上年同期相比变动幅度为-87.23%至-83.34%。;最新季度20220930净利润：-4844.68万"
002297.SZ,博云新材,95.0,长期不分红,1.0,久不分红，公司最近一次现金分红为2012-12-31财报：10转增5股派0.33元(含税)
002596.SZ,海南瑞泽,59.0,扣非亏损;应收账款占收入比例过高;财务粉饰;诉讼风险;失信被执行;股权冻结,6.0,"该公司最新财报显示净利润为正，但扣非净利润为负;截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为115.14%;截止至2022-09-30，非经常性损益23410万>3*净利润1588万、净利润1588万>500万;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;海南瑞泽新型建材股份有限公司关于公司实际控制人被列入失信被执行人名单的公告TXT:http://static.cninfo.com.cn/finalpage/2022-06-03/1213604633.PDF;2023-02-23,海南瑞泽：关于实际控制人及其一致行动人股份被轮候冻结的公告"
300964.SZ,本川智能,95.0,换手率过高,1.0,截止最新交易日，该股票近5日换手率达231.2063%
300579.SZ,数字认证,100.0,,,
300100.SZ,双林股份,86.0,短期负债风险;交易所公开谴责,2.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;于2022-03-16公布关于对宁海金石股权投资基金合伙企业（有限合伙）给予公开谴责处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-03-17_3001001108.pdf
002985.SZ,北摩高科,95.0,应收账款占收入比例过高;应收账款坏账风险,2.0,"截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为230.19%;截止至2022-09-30,该公司应收账款(应收票据)周转天数大于500"
300773.SZ,拉卡拉,57.0,净利润陡降风险;业绩公告预警;交易所公开谴责;清仓式减持,4.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为30000万元至40000万元，与上年同期相比变动幅度为-72.29%至-63.05%。;于2022-07-28公布关于对严琳给予公开谴责处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-07-29_3007732208.pdf;部分股东TXT:    1、因基金产品存续期结束，持公司股份320000股（占公司总股本比例为0.04%）的股东北京未名雅集文化传播中心（有限合伙）－北京未名雅集投资管理中心（有限合伙）（以下简称“未名雅集”），计划在自本公告之日起三个交易日后的六个月内以竞价交易或大宗交易方式合计减持本公司股份不超过320000股，即不超过本公司总股本比例0.04%。
    2、因基金产品投资退出期已结束，持公司股份66100股（占公司总股本比例为0.01%）的股东北京创金兴业投资中心（有限合伙）（以下简称“创金兴业”），计划在自本公告之日起三个交易日后的六个月内以竞价交易或大宗交易方式合计减持本公司股份不超过66100股，即不超过本公司总股本比例0.01%"
000551.SZ,创元科技,100.0,,,
601668.SH,中国建筑,85.0,高应收款隐忧;经营现金流风险;北上资金卖出,3.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;近20天内：单日出现净卖额超过2亿，且无单日超过2亿的净买额"
601669.SH,中国电建,95.0,高应收款隐忧,1.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上"
002730.SZ,电光科技,100.0,,,
688366.SH,昊海生科,90.0,净利润陡降风险,1.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%
600393.SH,粤泰股份,31.0,短期负债风险;业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;审计报告其他非标;股价偏低;高质押风险;已大比例减持,9.0,"截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于母公司所有者的净利润为-116500万元，与上年同期相比变动幅度为-41.21%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-6.88亿;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;我们提醒财务报表使用者关注，财务报表附注“十六、7、其他对投资者决策有影响的重要交易和事项”描述了粤泰股份的实际控制人广州粤泰控股集团有限公司及一致行动人广州城启集团有限公司、广州豪城房产开发有限公司、广州新意实业发展有限公司、广州建豪房地产开发有限公司等五家公司被申请破产清算，此事项对粤泰股份股东及股权结构可能会产生重大影响。本段内容不影响已发表的审计意见。;截至20230313,该公司股价低于2元;截止20230310公司质押比例已达50.39%;截止至20230215，该公司重要股东近半年已减持的股份占总股本的比例为：8.32%"
002699.SZ,ST美盛,-1.0,审计报告保留意见;交易所公开谴责;公司被立案调查;关联交易风险;ST股票,5.0,"（一）控股股东及其关联方违规占用资金事项
如财务报表附注五、（四）所述，截至2021年12月31日，贵公司控股股东美盛控股集团有限公司（以下简称“美盛控股”）及关联方资金占用余额63,268.26万元，已计提坏账准备6,326.83万元。截至本报告日止，美盛控股及关联方违规占用资金的还款存在重大不确定性。我们无法就该项应收款项预期可收回性获取充分、适当的审计证据，无法合理估计上述应收款项计提坏账准备金额的恰当性，以及对财务报表的影响。
（二）收购景德镇鑫银投资发展有限公司股权事项
2021年4月26日，贵公司子公司浙江美盛文旅发展有限公司（以下简称“美盛文旅”）与李玉、深圳市小八府网络科技有限公司就收购其持有的景德镇鑫银投资发展有限公司（以下简称“景德镇鑫银”）100%股权签订股权转让协议，作价为税后18,000.00万元，景德镇鑫银名下主要资产为处于法院查封状态的102.504亩商服用地（如财务报表附注十一、（二）.3），该项资产占景德镇鑫银总资产的100%。美盛文旅于2021年4月28日办理了对应99%股权的工商变更手续，并于2021年11月23日将14,000.00万元股权转让款支付给南昌恒泰君智科技创新服务有限公司，虽然我们执行了问询、检查等审计程序，但受限于访谈、流水核查等重要的审计程序未得到有效执行，我们无法就该交易的商业合理性及实际资金流向获取充分、适当的审计证据，不能确定该交易事项列报于合并报表中的无形资产是否恰当。若该交易不具有商业实质，已支付股权转让款应予收回，我们无法确定该款项的可收回性及是否需要计提相应减值准备。
（三）资金管理及对外担保等内部控制失效
由于贵公司资金管理及对外担保等相关内部控制运行失效，我们无法获取充分、适当的审计证据，以确定贵公司为控股股东及其关联方提供资金及担保、质押等事项披露的完整性，及对财务报表可能产生的影响。
我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于贵公司，并履行了职业道德方面的其他责任。
我们相信，我们获取的审计证据是充分、适当的，为发表保留意见提供了基础。;于2022-09-22公布关于对美盛文化创意股份有限公司及相关当事人给予纪律处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-09-22_002699101443.pdf;截止至20220609,美盛文化创意股份有限公司（以下简称“美盛文化”或“公司”）于2022年6月9日收到中国证券监督管理委员会（以下简称“中国证监会”）《立案告知书》（证监立案字01120220011号）。公司实际控制人赵小强先生于2022年6月10日收到中国证监会《立案告知书》（证监立案字0112022012号）。因涉嫌信息披露违法违规，中国证监会决定对公司和赵小强先生立案。;业务单一且大量关联方交易(关联交易方占净利润76.46%);"
002915.SZ,中欣氟材,100.0,,,
832802.BJ,保丽洁,95.0,长时间停牌,1.0,于2022-06-21，Jun 21 2022  9:30AM单次停牌时长超过两个月
300627.SZ,华测导航,100.0,,,
600698.SH,湖南天雁,70.0,扣非亏损;市盈率过高;业绩公告预警;业绩变脸风险;股票频繁更名;长期不分红,6.0,该公司最新财报显示净利润为正，但扣非净利润为负;该公司最新财报显示净利润为正，但TTM市盈率超过300;预计公司2022年01-12月归属于母公司所有者的净利润为-2800万元至-2200万元，与上年同期相比变动幅度为-419.45%至-351%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;截止目前，该公司历史更名次数达4次及以上;久不分红，公司最近一次现金分红为1994-12-31财报：10送4股派0.30元
002104.SZ,恒宝股份,65.0,审计报告保留意见;公司被立案调查,2.0,"如财务报表附注七、31所述，恒宝股份管理层认为公司持有的深圳一卡易科技股份有限公司（以下简称“一卡易”）股权及其相应的减值准备作为一项长期资产具有价值并予以管理。报告期内恒宝股份将所持有的一卡易51.102%股权及相应的减值准备转入“其他非流动资产”，其账面价值6,313.45万元。由于恒宝股份对一卡易失去控制，我们无法实施必要的审计程序以获取充分、适当的审计证据确认该项长期资产的会计处理及账面价值是否准确。
我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于恒宝股份，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表保留意见提供了基础。;截止至20220902,恒宝股份有限公司（以下简称“恒宝股份”或“公司”）于2022年9月2日收到中国证券监督管理委员会（以下简称“中国证监会”）对公司的《立案告知书》（编号：证监立案字0102022006号），因公司涉嫌信息披露违法违规，根据《中华人民共和国证券法》《中华人民共和国行政处罚法》等法律法规，决定对公司立案调查。"
